,id,full name,age bucket,gender,color scheme,seen count,followed ad,made purchase,ad effectiveness,user rating
0,12001,Dan Ferguson,18-35,M,green,0.7777777777777777,0,0,0.0,1
1,12002,Justin Gibson,35-99,M,blue,0.3333333333333333,1,1,0.3333333333333333,5
2,12005,Wendy Sharp,35-99,F,blue,0.0,0,0,-1,1
3,12007,Ryan Hart,6-18,M,blue,0.5555555555555556,1,0,0.1,5
4,12009,Wendy Poole,18-35,F,blue,0.8888888888888888,0,0,0.0,1
5,12012,Melanie,18-35,F,red,0.5555555555555556,0,0,0.0,1
6,12014,Emma Anderson,35-99,F,green,0.4444444444444444,0,0,0.0,1
7,12015,Joanne Parr,6-18,F,blue,0.5555555555555556,1,0,0.1,1
8,12019,Anna Payne,6-18,F,red,0.4444444444444444,0,0,0.0,1
9,12021,Sally Skinner,35-99,F,green,0.5555555555555556,0,0,0.0,1
10,12022,Anthony Abraham,35-99,M,green,0.6666666666666666,1,1,0.16666666666666666,3
11,12028,Natalie King,18-35,F,green,0.0,0,0,-1,1
12,12030,Andrea Stewart,18-35,F,red,0.3333333333333333,1,1,0.3333333333333333,5
13,12032,Joshua Churchill,18-35,M,blue,0.5555555555555556,1,0,0.1,1
14,12034,Jacob Welch,18-35,M,blue,0.4444444444444444,0,0,0.0,1
15,12036,Michael Burgess,18-35,M,blue,0.4444444444444444,0,0,0.0,1
16,12038,Adrian Ogden,18-35,M,blue,0.5555555555555556,0,0,0.0,1
17,12039,Carl,18-35,M,green,0.1111111111111111,0,0,0.0,1
18,12041,James Rampling,18-35,M,blue,0.5555555555555556,0,0,0.0,1
19,12049,Simon Thomson,18-35,M,blue,0.5555555555555556,0,0,0.0,1
20,12051,Isaac,6-18,M,green,0.7777777777777777,1,0,0.07142857142857142,2
21,12053,Trevor MacDonald,6-18,M,blue,0.7777777777777777,0,0,0.0,1
22,12055,Dorothy,18-35,F,green,0.4444444444444444,0,0,0.0,1
23,12056,Edward Henderson,18-35,M,red,0.7777777777777777,1,1,0.14285714285714285,4
24,12061,William Langdon,6-18,M,green,0.5555555555555556,1,0,0.1,2
25,12063,Kimberly,18-35,F,blue,0.4444444444444444,0,0,0.0,1
26,12064,Carol,35-99,F,red,0.5555555555555556,1,0,0.1,1
27,12065,Justin Quinn,18-35,M,blue,0.4444444444444444,0,0,0.0,1
28,12066,Simon Rampling,35-99,M,red,0.1111111111111111,0,0,0.0,1
29,12068,Sonia Berry,6-18,F,green,0.6666666666666666,0,0,0.0,1
30,12070,Dorothy May,18-35,F,blue,0.7777777777777777,0,0,0.0,1
31,12071,Luke,unknown,M,blue,0.3333333333333333,0,0,0.0,1
32,12080,Deirdre Quinn,18-35,F,green,0.6666666666666666,0,0,0.0,1
33,12084,Justin King,18-35,M,red,0.2222222222222222,1,1,0.5,5
34,12085,Rose Howard,18-35,F,red,0.5555555555555556,1,0,0.1,1
35,12089,Vanessa Terry,18-35,F,green,0.7777777777777777,1,1,0.14285714285714285,4
36,12091,Amy Rutherford,unknown,F,green,0.4444444444444444,0,0,0.0,1
37,12092,Oliver Newman,6-18,M,green,1.0,1,0,0.05555555555555555,1
38,12097,Faith Mitchell,18-35,F,green,0.8888888888888888,1,0,0.0625,2
39,12100,Felicity Dyer,6-18,F,red,0.6666666666666666,1,0,0.08333333333333333,1
